2025-12-04 10:19, failed, 0.031410
2025-12-04 10:25, failed, 0.031486
2025-12-04 10:36, failed, 0.031413
2025-12-04 10:55, failed, 0.063512
2025-12-04 11:02, failed, 0.007296
2025-12-04 11:15, failed, 0.063533
2025-12-04 11:21, failed, 0.031441
2025-12-04 11:35, failed, 0.015413
2025-12-04 11:50, failed, 0.007285
2025-12-04 12:26, failed, 0.015337
2025-12-04 13:13, failed, 0.015347
2025-12-04 13:50, failed, 0.063527
2025-12-04 14:14, failed, 0.031409
2025-12-04 14:43, failed, 0.007307
2025-12-04 14:58, failed, 0.031463
2025-12-04 15:34, failed, 0.015355
2025-12-04 15:52, failed, 0.063589
2025-12-04 16:24, failed, 0.063527
2025-12-04 16:54, failed, 0.063483
2025-12-04 17:22, failed, 0.064562
